application_id,customer_name,email,phone,income,loan_amount,collateral_type,collateral_value,customer_type,currency_code
APP_0001,Name0,user0@mail.local,+84-093146747,6312448,9923266,Land,10898525,Bank,USD
APP_0002,Name1,user1@mail.local,+84-093229805,62999908,166728850,Land,180788871,Non-bank,USD
APP_0003,Name2,user2@mail.local,+84-092405830,55400562,49975652,House,49403950,Non-bank,USD
APP_0004,Name3,user3@mail.local,+84-095066147,9574786,13413166,Land,12312625,Bank,USD
APP_0005,Name4,user4@mail.local,+84-099671399,82272382,172876886,Gold,188015502,Non-bank,USD
APP_0006,Name5,user5@mail.local,+84-096693817,23730589,67102947,Land,63335260,Bank,USD
APP_0007,Name6,user6@mail.local,+84-091055423,26682609,30805140,Gold,40083312,Bank,USD
APP_0008,Name7,user7@mail.local,+84-093222417,20671603,45896044,Land,33874538,Bank,USD
APP_0009,Name8,user8@mail.local,+84-093717813,33357386,29108710,Gold,36339767,Non-bank,USD
APP_0010,Name9,user9@mail.local,+84-092625631,19952001,46894932,Land,36943884,Bank,USD
APP_0011,Name10,user10@mail.local,+84-092501926,34563215,42614826,Land,61315162,Bank,USD
APP_0012,Name11,user11@mail.local,+84-099915135,74028033,82123943,Gold,77729699,Bank,USD
APP_0013,Name12,user12@mail.local,+84-096950983,43368332,46601597,Car,41540763,Bank,USD
APP_0014,Name13,user13@mail.local,+84-092659921,83484324,119101066,Gold,168037156,Bank,USD
APP_0015,Name14,user14@mail.local,+84-095656287,43204593,57090018,Land,36688242,Non-bank,USD
APP_0016,Name15,user15@mail.local,+84-094008385,28508823,57918643,Land,85712145,Non-bank,USD
APP_0017,Name16,user16@mail.local,+84-093972968,72044742,134132072,Car,192589281,Non-bank,USD
APP_0018,Name17,user17@mail.local,+84-094585116,74679137,177296318,Gold,212430382,Non-bank,USD
APP_0019,Name18,user18@mail.local,+84-099433897,78262186,96840510,Gold,107748696,Bank,USD
APP_0020,Name19,user19@mail.local,+84-098750435,80640878,233970179,Land,250796744,Bank,USD
APP_0021,Name20,user20@mail.local,+84-095944671,7131108,13254639,House,8947872,Bank,USD
APP_0022,Name21,user21@mail.local,+84-093504103,48602488,106855504,House,72843815,Bank,USD
APP_0023,Name22,user22@mail.local,+84-098928166,27794255,61721260,Gold,75397494,Bank,USD
APP_0024,Name23,user23@mail.local,+84-092994563,25821991,22742576,Gold,33253533,Non-bank,USD
APP_0025,Name24,user24@mail.local,+84-091267669,25503966,21998729,Gold,23301589,Bank,USD
APP_0026,Name25,user25@mail.local,+84-092140146,75060535,124233408,Car,74653917,Bank,USD
APP_0027,Name26,user26@mail.local,+84-095768910,72326900,130538036,Gold,175698679,Non-bank,USD
APP_0028,Name27,user27@mail.local,+84-097845351,23169851,27343016,Car,36844013,Bank,USD
APP_0029,Name28,user28@mail.local,+84-093062485,39816154,37837385,Gold,34161887,Bank,USD
APP_0030,Name29,user29@mail.local,+84-096086645,68024699,119710050,Gold,145069040,Bank,USD
APP_0031,Name30,user30@mail.local,+84-093558959,17599409,37822817,House,27513273,Non-bank,USD
APP_0032,Name31,user31@mail.local,+84-091848508,58544917,62753484,Gold,46871467,Bank,USD
APP_0033,Name32,user32@mail.local,+84-096785981,42281831,44228722,House,54856409,Bank,USD
APP_0034,Name33,user33@mail.local,+84-095094535,83829616,242036861,Gold,256301185,Bank,USD
APP_0035,Name34,user34@mail.local,+84-094345973,67829340,156837193,House,177231210,Bank,USD
APP_0036,Name35,user35@mail.local,+84-099896004,24712196,14477445,Land,15510197,Bank,USD
APP_0037,Name36,user36@mail.local,+84-099667811,75979224,224445863,House,324643178,Bank,USD
