application_id,customer_name,email,phone,address,national_id,age,income,employment_length,loan_amount,loan_duration_months,collateral_value,collateral_type,co_loaners,credit_score,existing_debt,assets_owned,current_loans,customer_type,DTI,LTV,CCR,ITI,CWI,currency_code,session_user_name,session_user_email,session_flagged,created_at
APP_0001,Alice Nguyen,felix.nguyen@gmail.com,+1-202-555-1000,"55 Nguyen Hue, Ho Chi Minh",99822506,26,20970750.0,26,11600400.0,24,10333950.0,car,0,552,4219950.0,4245450.0,4,bank,0.20123028503987556,1.1225523638105304,0.8908270404468696,0.023048770310067926,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0002,Julia Ngo,felix.nguyen@gmail.com,+1-202-555-1001,"10 Broadway, New York, NY",79966434,57,17591700.0,3,10024950.0,24,4776150.0,real_estate,0,511,5686200.0,8988450.0,3,bank,0.3232319787172332,2.0989604597844886,0.47642631634072274,0.023744507351909822,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0003,Bao Tran,giang.ho@gmail.com,+1-202-555-1002,"23 Elm St, Boston, MA",38837550,44,18399150.0,27,13622400.0,12,26832450.0,real_estate,0,755,5666400.0,43640700.0,1,bank,0.3079707486487122,0.507683793317417,1.9697300035235863,0.06169850237132644,0.6710815283513206,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0004,Ivan Pham,hanh.vo@gmail.com,+1-202-555-1003,"44 Maple Dr, Los Angeles, CA",97464377,35,13966800.0,25,8089800.0,36,5460600.0,real_estate,0,504,3993150.0,14061900.0,2,bank,0.28590299853939033,1.481485551038307,0.6749981458132338,0.016089345208667852,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0005,Emma Tran,chris.do@gmail.com,+1-202-555-1004,"55 Nguyen Hue, Ho Chi Minh",54937628,43,5823450.0,15,11019900.0,72,18302250.0,car,1,690,1930650.0,15013350.0,2,non-bank,0.3315302784431824,0.6021062984059288,1.6608363052296073,0.026282387015349486,0.44174906095148636,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0006,Chris Do,emma.tran@gmail.com,+1-202-555-1005,"10 Broadway, New York, NY",55066706,63,11079750.0,22,4807350.0,12,8004750.0,real_estate,0,555,3946350.0,35920350.0,3,bank,0.3561768090435205,0.6005621662137993,1.6651065555867057,0.0361571786336885,0.4282110249439382,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0007,Emma Tran,emma.tran@gmail.com,+1-202-555-1006,"44 Maple Dr, Los Angeles, CA",49032895,58,22444350.0,15,14475750.0,24,4829550.0,deposit,1,314,6200850.0,9737250.0,4,bank,0.27627665759979503,2.997328943690313,0.33363038184549676,0.026873411347393194,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0008,Ivan Pham,alice.nguyen@gmail.com,+1-202-555-1007,"19 Pine Ave, San Jose, CA",22950775,57,4578150.0,8,9632850.0,12,23560650.0,real_estate,0,591,7279800.0,23838900.0,1,bank,1.5901182792175357,0.40885332110955935,2.4458649309394036,0.17534102201393115,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0009,Ivan Pham,alice.nguyen@gmail.com,+1-202-555-1008,"8 Rue Lafayette, Paris, FR",94093522,41,20235000.0,23,11893500.0,48,5338950.0,land,0,327,6956250.0,13942950.0,2,non-bank,0.34377316530763274,2.2276852190036744,0.4488964560474152,0.012245181615756663,0.0,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
APP_0010,Giang Ho,ivan.pham@gmail.com,+1-202-555-1009,"22 Bay St, Toronto, CA",11254265,55,16584150.0,7,7315500.0,24,20502450.0,land,0,812,1360950.0,10110150.0,0,bank,0.08206329537540288,0.3568110152689043,2.8026040598728152,0.018379748132240525,1.6546764304625972,JPY,dzoan,dzoan@gmail.com,False,2025-10-28T08:00:05.007981
